Date,balanced_fund_data_Price,conservative_fund_data_Price,growth_fund_data_Price,hk_equity_fund_data_Price,hkdollar_bond_fund_data_Price,stable_fund_data_Price,HSI_investing_com_Open,HSI_investing_com_High,HSI_investing_com_Low,HSI_investing_com_Price,IXIC_investing_com_Open,IXIC_investing_com_High,IXIC_investing_com_Low,IXIC_investing_com_Price,us2yrbondyield_investing_com_Open,us2yrbondyield_investing_com_High,us2yrbondyield_investing_com_Low,us2yrbondyield_investing_com_Price,us10yrbondyield_investing_com_Open,us10yrbondyield_investing_com_High,us10yrbondyield_investing_com_Low,us10yrbondyield_investing_com_Price
2002-01-09,0.9783,1.0313,0.9636,0.877,1.0613,0.9922,11711.77,11783.7,11369.63,11440.72,2074.32,2098.88,2034.09,2044.89,2.979,2.979,2.979,2.979,5.048,5.048,5.048,5.048
2002-01-10,0.9741,1.0313,0.9569,0.869,1.0623,0.9906,11361.09,11361.09,11168.89,11256.07,2045.13,2055.89,2026.05,2047.24,2.937,2.937,2.937,2.937,4.975,4.975,4.975,4.975
2002-01-11,0.9737,1.031,0.9556,0.8577,1.064,0.9914,11278.86,11351.75,11085.47,11166.46,2049.5,2058.77,2018.68,2022.46,2.739,2.739,2.739,2.739,4.876,4.876,4.876,4.876
2002-01-14,0.9744,1.0312,0.9554,0.8587,1.0674,0.9931,11081.38,11213.86,11029.22,11209.43,2012.59,2018.42,1979.94,1990.74,2.783,2.783,2.783,2.783,4.884,4.884,4.884,4.884
2002-01-15,0.9691,1.0312,0.9484,0.8451,1.0665,0.9896,11071.49,11071.49,10965.24,11013.59,1994.88,2011.25,1977.28,2000.91,2.787,2.787,2.787,2.787,4.845,4.845,4.845,4.845
2002-01-16,0.9609,1.031,0.9387,0.8388,1.0673,0.9835,11035.49,11080.55,10910.75,10964.09,1976.42,1981.81,1944.32,1944.44,2.819,2.819,2.819,2.819,4.841,4.841,4.841,4.841
2002-01-17,0.9636,1.0311,0.9436,0.8442,1.0666,0.9838,10888.11,11020.21,10808.0,11013.84,1968.7,1985.83,1954.06,1985.82,2.854,2.854,2.854,2.854,4.931,4.931,4.931,4.931
2002-01-18,0.9612,1.0311,0.9411,0.8446,1.0646,0.9815,11023.79,11065.53,10934.01,10972.96,1943.56,1964.74,1922.7,1930.34,2.88,2.88,2.88,2.88,4.893,4.893,4.893,4.893
2002-01-21,0.9638,1.0311,0.9435,0.8516,1.0648,0.984,10967.09,11083.17,10941.47,11000.25,1945.215,1956.075,1902.42,1906.435,2.897,2.897,2.897,2.897,4.906,4.906,4.906,4.906
2002-01-22,0.9601,1.0312,0.9399,0.8416,1.0641,0.9804,10991.4,10997.9,10778.78,10797.69,1946.87,1947.41,1882.14,1882.53,2.94,2.94,2.94,2.94,4.919,4.919,4.919,4.919
2002-01-23,0.9635,1.0312,0.9445,0.8377,1.0638,0.9824,10750.98,10793.07,10689.06,10762.14,1889.53,1925.15,1879.24,1922.38,3.015,3.015,3.015,3.015,5.028,5.028,5.028,5.028
2002-01-24,0.9634,1.0313,0.9466,0.8381,1.0626,0.9798,10796.81,10847.53,10690.63,10741.46,1937.67,1959.93,1936.34,1942.58,3.154,3.154,3.154,3.154,5.005,5.005,5.005,5.005
2002-01-25,0.9664,1.0313,0.952,0.8389,1.0607,0.9806,10789.0,10842.47,10718.27,10772.96,1929.15,1951.79,1923.06,1937.7,3.175,3.175,3.175,3.175,5.069,5.069,5.069,5.069
2002-01-28,0.9651,1.0313,0.9512,0.8392,1.0611,0.9788,10749.08,10891.59,10748.1,10767.46,1951.12,1958.96,1925.43,1943.91,3.179,3.179,3.179,3.179,5.075,5.075,5.075,5.075
2002-01-30,0.9567,1.0314,0.9382,0.8333,1.0629,0.9755,10895.7,10895.7,10699.94,10756.96,1897.73,1913.66,1851.49,1913.44,3.097,3.097,3.097,3.097,5.013,5.013,5.013,5.013
2002-01-31,0.9603,1.0315,0.9438,0.8305,1.0612,0.9771,10797.99,10953.57,10671.77,10725.3,1924.56,1935.17,1906.9,1934.03,3.195,3.195,3.195,3.195,5.046,5.046,5.046,5.046
